client_id,Variation,confirm,start,total_time_mins
8820,Test,2017-04-19 11:17:58,2017-04-19 11:11:00,6.966666666666667
9767,Control,2017-05-15 17:18:28,2017-04-26 16:32:56,27405.533333333333
9916,Test,2017-03-30 06:09:05,2017-03-30 06:07:57,1.1333333333333333
11040,Test,2017-03-29 12:14:04,2017-03-29 12:12:04,2.0
11054,Control,2017-05-16 11:38:45,2017-05-16 11:28:36,10.15
11070,Control,2017-04-06 15:23:25,2017-03-16 04:42:49,30880.6
11122,Control,2017-04-20 21:30:43,2017-04-20 21:27:12,3.5166666666666666
11309,Test,2017-04-01 13:30:00,2017-04-01 13:26:42,3.3
11880,Test,2017-05-19 09:38:40,2017-05-19 09:32:20,6.333333333333333
12785,Test,2017-04-25 15:43:12,2017-04-25 15:10:03,33.15
13009,Control,2017-03-29 12:10:34,2017-03-29 12:03:57,6.616666666666666
13735,Test,2017-04-12 16:49:31,2017-04-12 16:46:52,2.65
15050,Test,2017-04-25 09:15:13,2017-04-25 09:09:29,5.733333333333333
15189,Test,2017-04-12 22:50:19,2017-04-12 22:47:52,2.45
16098,Test,2017-04-05 11:14:42,2017-04-05 11:12:40,2.033333333333333
16135,Control,2017-04-11 13:43:18,2017-04-09 20:20:30,2482.8
16295,Test,2017-05-23 21:29:06,2017-05-23 21:20:37,8.483333333333333
16549,Control,2017-04-08 16:54:53,2017-03-30 08:55:11,13439.7
16747,Control,2017-04-21 08:01:32,2017-04-21 07:58:56,2.6
17008,Control,2017-04-17 12:22:43,2017-04-17 12:17:17,5.433333333333334
17036,Control,2017-04-09 16:54:41,2017-04-09 16:51:20,3.35
17160,Control,2017-04-10 09:03:52,2017-03-29 11:30:53,17132.983333333334
17170,Test,2017-06-07 20:55:20,2017-06-07 20:50:55,4.416666666666667
17404,Test,2017-04-09 20:38:32,2017-04-09 20:36:53,1.65
18549,Test,2017-05-02 09:28:27,2017-05-02 09:25:54,2.55
18973,Control,2017-06-16 08:37:04,2017-06-16 08:23:46,13.3
19782,Control,2017-03-29 11:53:17,2017-03-29 11:45:38,7.65
19813,Control,2017-05-03 13:03:58,2017-05-03 12:52:46,11.2
19832,Control,2017-04-23 17:20:38,2017-04-23 17:13:47,6.85
20091,Control,2017-05-09 12:49:51,2017-05-09 12:44:57,4.9
20185,Test,2017-04-24 16:34:48,2017-04-22 09:27:57,3306.85
20537,Control,2017-03-29 18:57:51,2017-03-29 18:53:56,3.9166666666666665
20564,Test,2017-04-11 20:13:09,2017-04-11 19:59:14,13.916666666666666
20643,Test,2017-03-29 11:44:06,2017-03-29 11:42:08,1.9666666666666666
21242,Control,2017-04-23 14:42:12,2017-04-23 14:40:51,1.35
21281,Test,2017-04-13 13:48:01,2017-03-29 11:15:56,21752.083333333332
21353,Control,2017-04-06 07:03:13,2017-04-06 06:58:58,4.25
21498,Control,2017-04-06 15:43:45,2017-04-05 15:53:03,1430.7
21596,Test,2017-05-02 17:49:46,2017-05-02 17:42:15,7.516666666666667
21940,Control,2017-04-19 16:08:10,2017-04-13 00:15:36,9592.566666666668
21970,Control,2017-04-09 19:35:59,2017-04-09 19:31:09,4.833333333333333
22007,Test,2017-04-17 10:35:53,2017-04-17 10:31:55,3.966666666666667
23276,Control,2017-03-29 17:47:34,2017-03-29 17:43:06,4.466666666666667
23864,Control,2017-04-11 17:31:11,2017-04-11 17:25:43,5.466666666666667
23914,Test,2017-06-04 11:46:20,2017-06-04 11:44:21,1.9833333333333334
24443,Test,2017-05-03 21:30:59,2017-04-05 11:33:55,40917.066666666666
24572,Test,2017-04-05 11:11:49,2017-04-05 11:04:52,6.95
24703,Test,2017-04-05 17:42:51,2017-04-05 17:37:48,5.05
24710,Control,2017-05-16 08:30:36,2017-05-16 08:26:49,3.783333333333333
24841,Test,2017-03-30 15:10:43,2017-03-30 15:07:07,3.6
25022,Test,2017-04-07 21:00:26,2017-04-07 20:50:58,9.466666666666667
25026,Test,2017-04-19 11:31:18,2017-04-19 11:24:01,7.283333333333333
25043,Control,2017-04-05 18:48:17,2017-04-05 18:46:14,2.05
25766,Control,2017-03-29 15:58:32,2017-03-29 15:52:59,5.55
26036,Test,2017-03-29 11:10:40,2017-03-29 11:09:39,1.0166666666666666
26070,Test,2017-05-18 20:53:27,2017-05-18 20:47:10,6.283333333333333
26105,Test,2017-06-02 16:50:52,2017-06-02 16:48:20,2.533333333333333
26211,Control,2017-04-08 19:33:47,2017-04-08 19:24:02,9.75
27021,Control,2017-03-22 11:34:51,2017-03-22 11:12:09,22.7
27075,Test,2017-04-12 16:42:30,2017-04-12 16:41:15,1.25
27241,Control,2017-03-29 22:28:39,2017-03-29 11:23:46,664.8833333333333
27554,Control,2017-05-11 21:32:41,2017-05-11 21:31:07,1.5666666666666667
27764,Test,2017-05-01 16:23:42,2017-05-01 16:13:16,10.433333333333334
27907,Test,2017-04-12 16:42:59,2017-04-12 16:36:48,6.183333333333334
27988,Control,2017-06-01 14:20:10,2017-04-07 17:27:43,79012.45
28241,Test,2017-04-01 02:25:33,2017-04-01 02:20:55,4.633333333333334
28371,Test,2017-04-20 20:37:12,2017-04-05 20:07:25,21629.783333333333
28542,Control,2017-05-23 10:54:39,2017-05-23 10:46:29,8.166666666666666
28705,Control,2017-06-13 13:03:46,2017-05-10 12:18:50,49004.933333333334
28845,Control,2017-04-12 22:46:01,2017-04-12 22:43:08,2.8833333333333333
28857,Control,2017-06-07 08:26:48,2017-04-13 18:26:13,78600.58333333333
29227,Test,2017-04-05 19:17:05,2017-04-05 19:11:37,5.466666666666667
29527,Test,2017-04-07 10:56:52,2017-04-07 10:50:54,5.966666666666667
29595,Control,2017-05-10 14:23:50,2017-05-10 14:21:34,2.2666666666666666
30318,Test,2017-04-20 08:02:12,2017-04-03 06:22:21,24579.85
30493,Test,2017-04-02 20:41:22,2017-04-02 20:31:24,9.966666666666667
31264,Control,2017-06-08 19:18:43,2017-04-27 17:43:58,60574.75
31336,Test,2017-04-01 19:38:56,2017-03-28 23:46:28,5512.466666666666
31404,Test,2017-04-05 18:32:23,2017-04-05 18:29:05,3.3
31499,Test,2017-05-27 11:54:48,2017-05-27 11:42:04,12.733333333333333
31502,Control,2017-03-30 21:05:02,2017-03-30 20:54:26,10.6
31597,Test,2017-05-02 10:55:47,2017-04-04 20:13:19,39762.46666666667
31715,Control,2017-04-12 20:40:08,2017-04-12 20:37:19,2.816666666666667
32197,Control,2017-03-29 11:59:45,2017-03-29 11:56:12,3.55
32521,Test,2017-04-09 12:54:08,2017-04-09 12:50:50,3.3
32746,Test,2017-03-29 12:06:30,2017-03-29 12:00:34,5.933333333333334
33190,Control,2017-06-05 21:53:10,2017-06-05 21:45:35,7.583333333333333
33265,Test,2017-04-02 14:01:44,2017-04-02 13:57:41,4.05
33463,Control,2017-04-20 19:19:38,2017-04-20 19:08:22,11.266666666666667
33472,Test,2017-03-29 22:17:42,2017-03-29 22:13:32,4.166666666666667
33752,Test,2017-04-04 19:22:04,2017-04-04 19:20:22,1.7
34067,Control,2017-03-29 12:11:46,2017-03-29 11:55:57,15.816666666666666
34267,Control,2017-04-05 11:36:48,2017-04-05 11:34:58,1.8333333333333333
34603,Control,2017-03-30 13:37:57,2017-03-30 13:32:26,5.516666666666667
35138,Test,2017-04-12 15:36:34,2017-04-12 15:30:21,6.216666666666667
35181,Test,2017-04-09 21:37:31,2017-04-05 12:39:52,6297.65
35257,Control,2017-04-07 12:35:36,2017-04-07 12:33:45,1.85
35346,Control,2017-04-12 13:35:56,2017-04-12 13:33:03,2.8833333333333333
35417,Control,2017-04-06 09:07:59,2017-04-06 09:05:58,2.0166666666666666
35476,Test,2017-05-12 10:51:54,2017-03-29 13:08:55,63222.98333333333
35922,Test,2017-03-15 12:41:55,2017-03-15 12:18:26,23.483333333333334
36109,Control,2017-03-29 21:55:55,2017-03-29 21:40:35,15.333333333333334
36342,Test,2017-04-19 11:14:15,2017-04-19 11:10:27,3.8
36363,Test,2017-05-03 18:23:32,2017-05-03 18:19:05,4.45
36430,Test,2017-04-03 08:41:38,2017-04-03 08:25:47,15.85
36986,Test,2017-04-12 14:43:01,2017-03-29 19:28:34,19874.45
37064,Control,2017-04-06 08:00:22,2017-04-06 07:54:30,5.866666666666666
37295,Control,2017-04-30 21:36:24,2017-04-30 21:29:49,6.583333333333333
37408,Control,2017-04-19 12:21:35,2017-04-19 12:16:00,5.583333333333333
37423,Test,2017-04-05 23:32:00,2017-03-30 21:18:13,8773.783333333333
37667,Test,2017-05-29 11:08:09,2017-05-29 11:06:06,2.05
37705,Test,2017-04-24 04:44:18,2017-04-24 04:38:22,5.933333333333334
37897,Test,2017-04-25 13:47:48,2017-04-25 13:46:10,1.6333333333333333
38283,Test,2017-03-29 11:10:05,2017-03-29 11:05:51,4.233333333333333
38340,Test,2017-03-29 11:37:39,2017-03-29 11:35:38,2.0166666666666666
38551,Test,2017-04-05 14:27:51,2017-04-05 14:24:02,3.816666666666667
38685,Control,2017-06-02 13:30:47,2017-06-02 13:27:28,3.316666666666667
38714,Control,2017-05-21 15:13:45,2017-05-21 15:11:51,1.9
38930,Control,2017-03-30 11:00:01,2017-03-30 10:54:05,5.933333333333334
38963,Control,2017-04-05 16:32:32,2017-04-05 16:14:34,17.966666666666665
39075,Control,2017-04-18 16:11:48,2017-04-18 16:09:17,2.5166666666666666
39566,Test,2017-04-17 15:46:16,2017-04-17 15:42:47,3.4833333333333334
40439,Test,2017-04-13 08:57:36,2017-04-13 08:56:25,1.1833333333333333
41122,Test,2017-03-29 22:23:52,2017-03-29 22:21:20,2.533333333333333
41142,Test,2017-05-09 11:53:41,2017-04-04 11:18:22,50435.316666666666
41199,Test,2017-04-23 12:23:02,2017-04-23 12:12:01,11.016666666666667
41237,Test,2017-06-15 06:52:11,2017-06-15 06:49:37,2.566666666666667
41516,Control,2017-06-05 14:52:01,2017-06-05 14:50:42,1.3166666666666667
42082,Control,2017-05-01 14:42:51,2017-05-01 14:36:46,6.083333333333333
42349,Test,2017-03-30 09:00:49,2017-03-30 08:58:24,2.4166666666666665
42725,Test,2017-04-12 11:43:41,2017-04-12 11:41:20,2.35
43645,Test,2017-04-14 08:12:20,2017-04-14 08:09:44,2.6
44060,Control,2017-04-07 18:02:28,2017-04-07 17:57:41,4.783333333333333
44216,Control,2017-05-18 16:26:32,2017-05-18 16:21:45,4.783333333333333
44705,Test,2017-05-20 09:27:55,2017-05-20 08:42:29,45.43333333333333
44860,Control,2017-04-19 13:12:07,2017-04-19 13:07:49,4.3
44932,Test,2017-05-18 20:56:49,2017-05-18 20:54:31,2.3
45131,Test,2017-05-12 10:36:55,2017-05-07 16:56:56,6819.983333333334
45232,Test,2017-04-22 11:18:11,2017-03-19 11:58:52,48919.316666666666
45485,Test,2017-04-05 16:17:49,2017-04-05 15:58:25,19.4
45510,Test,2017-04-24 09:45:29,2017-04-13 21:24:02,15141.45
47571,Control,2017-03-29 12:29:13,2017-03-29 12:14:31,14.7
47933,Control,2017-04-03 22:13:31,2017-04-03 22:05:44,7.783333333333333
48431,Control,2017-03-29 11:31:21,2017-03-29 11:26:59,4.366666666666666
48448,Test,2017-03-30 15:52:06,2017-03-30 15:50:26,1.6666666666666667
48724,Test,2017-04-19 13:03:53,2017-04-19 12:53:46,10.116666666666667
49412,Control,2017-04-05 23:11:18,2017-04-05 23:08:17,3.0166666666666666
49450,Control,2017-04-09 14:12:11,2017-04-09 13:41:36,30.583333333333332
49709,Test,2017-04-07 15:26:09,2017-04-07 15:19:11,6.966666666666667
50053,Test,2017-03-29 11:37:31,2017-03-29 11:32:40,4.85
50090,Test,2017-03-30 17:43:01,2017-03-30 17:41:02,1.9833333333333334
50185,Control,2017-05-24 00:32:45,2017-05-24 00:29:55,2.8333333333333335
50271,Control,2017-03-29 12:37:10,2017-03-29 12:33:01,4.15
50325,Test,2017-03-30 09:57:31,2017-03-30 09:55:01,2.5
50643,Control,2017-06-17 11:32:38,2017-05-03 18:50:36,64362.03333333333
51493,Test,2017-05-03 11:33:49,2017-05-03 11:26:20,7.483333333333333
51526,Test,2017-05-12 01:00:23,2017-05-12 00:22:00,38.38333333333333
51706,Control,2017-05-15 18:51:01,2017-05-15 18:47:41,3.3333333333333335
51814,Control,2017-04-05 13:14:41,2017-04-05 13:12:22,2.316666666666667
51902,Control,2017-05-22 13:51:10,2017-05-22 13:49:14,1.9333333333333333
52111,Control,2017-05-05 17:14:54,2017-03-31 23:11:07,50043.78333333333
52456,Control,2017-03-30 14:02:49,2017-03-30 13:54:56,7.883333333333334
52461,Control,2017-05-30 07:34:13,2017-05-30 07:30:32,3.683333333333333
52743,Test,2017-04-12 11:26:48,2017-04-12 11:23:41,3.1166666666666667
52765,Control,2017-04-12 11:15:45,2017-04-12 11:12:04,3.683333333333333
53094,Control,2017-04-06 13:00:44,2017-04-06 12:57:01,3.716666666666667
53123,Control,2017-04-19 11:32:23,2017-04-19 11:27:34,4.816666666666666
53126,Control,2017-04-01 16:36:29,2017-04-01 16:34:50,1.65
53396,Test,2017-03-29 18:11:38,2017-03-29 18:10:07,1.5166666666666666
54231,Test,2017-04-13 12:25:02,2017-04-13 12:22:02,3.0
54291,Control,2017-04-10 19:12:48,2017-04-10 19:09:05,3.716666666666667
54363,Control,2017-03-29 15:33:10,2017-03-29 15:30:58,2.2
54893,Test,2017-05-10 09:53:04,2017-05-10 09:51:55,1.15
55059,Test,2017-04-05 11:15:44,2017-04-05 11:13:27,2.283333333333333
55265,Test,2017-04-08 15:15:15,2017-04-08 15:10:04,5.183333333333334
55333,Test,2017-04-05 11:19:44,2017-04-05 11:17:48,1.9333333333333333
55448,Control,2017-03-30 12:30:39,2017-03-30 12:25:56,4.716666666666667
56294,Test,2017-05-14 14:36:06,2017-05-14 14:32:16,3.8333333333333335
56529,Control,2017-05-09 13:50:43,2017-05-09 13:27:47,22.933333333333334
56923,Test,2017-04-08 16:36:51,2017-04-08 16:33:06,3.75
58001,Control,2017-04-05 14:20:45,2017-04-05 13:12:54,67.85
58194,Test,2017-04-06 01:46:21,2017-04-06 01:34:12,12.15
58196,Control,2017-04-20 19:30:36,2017-04-06 11:55:01,20615.583333333332
58456,Control,2017-05-04 12:34:12,2017-05-04 12:21:44,12.466666666666667
58589,Control,2017-05-20 15:59:06,2017-04-19 13:05:54,44813.2
58676,Control,2017-03-29 20:05:19,2017-03-29 19:59:20,5.983333333333333
58867,Test,2017-05-08 17:28:47,2017-05-08 17:09:05,19.7
58917,Control,2017-05-12 13:56:39,2017-05-12 13:51:24,5.25
58962,Test,2017-04-12 13:47:59,2017-04-12 13:42:52,5.116666666666666
59089,Control,2017-05-21 07:46:44,2017-05-21 07:42:34,4.166666666666667
59152,Test,2017-04-14 14:33:52,2017-04-14 14:31:55,1.95
59360,Test,2017-04-19 01:35:35,2017-04-19 01:26:22,9.216666666666667
59782,Control,2017-04-07 12:28:18,2017-04-07 12:12:27,15.85
59802,Test,2017-04-09 13:23:27,2017-04-09 13:19:00,4.45
59860,Control,2017-05-23 15:17:11,2017-05-23 15:09:08,8.05
60101,Test,2017-04-20 16:42:43,2017-04-20 16:41:15,1.4666666666666666
60483,Test,2017-04-05 13:17:09,2017-04-05 13:15:13,1.9333333333333333
61487,Test,2017-04-06 15:53:12,2017-04-06 15:50:49,2.3833333333333333
61650,Test,2017-05-14 19:22:21,2017-05-14 19:18:04,4.283333333333333
61961,Test,2017-03-29 12:17:35,2017-03-29 12:13:16,4.316666666666666
62284,Test,2017-04-05 13:46:47,2017-04-05 13:39:05,7.7
62754,Test,2017-04-05 12:06:49,2017-04-05 12:03:28,3.35
62791,Test,2017-03-29 14:08:07,2017-03-29 14:05:53,2.2333333333333334
62805,Test,2017-04-05 12:02:15,2017-04-05 11:57:57,4.3
63377,Control,2017-04-23 10:03:44,2017-04-23 10:01:04,2.6666666666666665
63507,Test,2017-04-13 20:05:05,2017-04-13 20:01:15,3.8333333333333335
63796,Test,2017-03-29 12:43:37,2017-03-29 12:19:55,23.7
63879,Test,2017-03-29 18:48:29,2017-03-29 18:44:47,3.7
63955,Test,2017-05-09 19:45:22,2017-05-09 19:41:12,4.166666666666667
64020,Control,2017-04-12 16:58:33,2017-04-12 16:39:46,18.783333333333335
64058,Test,2017-03-29 11:16:32,2017-03-29 11:14:10,2.3666666666666667
64871,Control,2017-05-13 13:21:55,2017-05-13 13:17:02,4.883333333333334
64964,Control,2017-04-03 17:52:38,2017-04-03 17:42:47,9.85
65221,Test,2017-04-06 18:29:47,2017-04-06 18:27:11,2.6
65716,Control,2017-05-14 14:13:12,2017-05-14 14:09:43,3.4833333333333334
65845,Control,2017-04-02 18:13:30,2017-04-02 18:00:07,13.383333333333333
66160,Test,2017-04-12 19:03:09,2017-04-12 19:01:48,1.35
66169,Control,2017-04-10 12:04:27,2017-04-08 13:24:48,2799.65
66539,Test,2017-04-12 11:13:58,2017-04-12 11:11:15,2.716666666666667
67390,Test,2017-06-02 17:20:21,2017-06-02 17:08:35,11.766666666666667
67452,Test,2017-04-07 08:09:44,2017-04-07 08:06:25,3.316666666666667
67925,Test,2017-03-29 17:33:38,2017-03-29 17:27:42,5.933333333333334
68276,Test,2017-04-14 08:31:31,2017-04-14 08:29:05,2.433333333333333
68830,Control,2017-04-06 09:30:24,2017-04-06 09:27:45,2.65
68854,Control,2017-04-19 11:03:20,2017-04-19 10:48:14,15.1
68886,Test,2017-03-30 14:36:24,2017-03-30 14:34:28,1.9333333333333333
68963,Control,2017-04-19 19:57:17,2017-04-05 18:39:01,20238.266666666666
69255,Control,2017-04-05 14:46:14,2017-04-05 14:32:47,13.45
69598,Control,2017-05-19 16:45:02,2017-05-19 16:39:56,5.1
70225,Control,2017-04-02 15:02:50,2017-04-02 15:01:18,1.5333333333333334
70576,Test,2017-06-18 21:41:52,2017-04-10 21:31:11,99370.68333333333
71296,Control,2017-03-20 13:49:09,2017-03-15 11:56:01,7313.133333333333
72074,Test,2017-05-15 14:59:55,2017-03-31 10:23:23,65076.53333333333
72221,Control,2017-04-06 05:37:02,2017-04-06 05:29:54,7.133333333333334
72395,Test,2017-06-13 13:59:31,2017-06-13 13:54:57,4.566666666666666
72915,Test,2017-03-29 14:31:28,2017-03-29 14:29:14,2.2333333333333334
72916,Test,2017-03-29 20:25:10,2017-03-29 20:21:06,4.066666666666666
73331,Control,2017-03-29 12:05:56,2017-03-29 12:03:50,2.1
73335,Control,2017-05-28 23:24:48,2017-05-28 23:19:58,4.833333333333333
73453,Control,2017-04-05 23:42:33,2017-04-05 23:27:49,14.733333333333333
73615,Test,2017-05-13 00:48:48,2017-05-13 00:45:04,3.7333333333333334
73648,Test,2017-04-03 21:26:06,2017-04-03 21:24:08,1.9666666666666666
73910,Control,2017-03-30 15:30:03,2017-03-30 15:27:13,2.8333333333333335
74169,Control,2017-04-19 22:56:10,2017-04-09 18:29:07,14667.05
74976,Test,2017-04-26 20:32:18,2017-04-26 20:26:30,5.8
75033,Test,2017-04-05 16:47:44,2017-04-05 16:44:49,2.9166666666666665
75490,Test,2017-04-02 22:20:07,2017-04-02 22:18:46,1.35
75642,Control,2017-03-29 14:36:02,2017-03-29 14:28:21,7.683333333333334
76424,Control,2017-03-29 12:23:08,2017-03-29 12:19:23,3.75
76429,Test,2017-06-05 08:57:42,2017-06-05 08:53:11,4.516666666666667
76481,Test,2017-04-06 10:18:17,2017-04-05 13:30:06,1248.1833333333334
76776,Control,2017-04-25 13:30:03,2017-03-29 18:16:38,38593.416666666664
77071,Control,2017-04-05 19:30:16,2017-04-05 19:19:26,10.833333333333334
77276,Test,2017-03-29 18:48:35,2017-03-29 18:47:24,1.1833333333333333
77513,Test,2017-03-30 12:40:20,2017-03-30 12:30:32,9.8
77933,Test,2017-04-01 13:10:52,2017-04-01 13:07:30,3.3666666666666667
79127,Control,2017-03-29 06:56:42,2017-03-29 06:51:02,5.666666666666667
79452,Test,2017-04-16 10:42:03,2017-04-16 10:40:26,1.6166666666666667
79571,Control,2017-05-12 12:49:15,2017-05-12 12:46:10,3.0833333333333335
79679,Control,2017-04-23 10:13:57,2017-04-23 10:09:47,4.166666666666667
79897,Test,2017-04-02 08:57:27,2017-03-29 09:39:24,5718.05
80006,Test,2017-04-20 21:12:21,2017-04-07 21:47:19,18685.033333333333
80126,Test,2017-06-19 09:58:14,2017-06-19 09:53:07,5.116666666666666
80127,Control,2017-03-29 19:09:02,2017-03-29 19:05:50,3.2
80275,Test,2017-04-12 16:33:19,2017-04-06 23:50:00,8203.316666666668
80479,Test,2017-04-25 14:06:56,2017-04-07 19:26:00,25600.933333333334
80559,Control,2017-04-17 14:50:54,2017-04-17 14:46:15,4.65
80915,Control,2017-05-19 17:49:47,2017-05-19 17:36:07,13.666666666666666
81102,Control,2017-04-19 15:44:04,2017-04-19 15:39:57,4.116666666666666
81303,Test,2017-03-29 12:56:55,2017-03-29 12:36:12,20.716666666666665
81601,Control,2017-04-16 20:44:20,2017-04-02 00:06:14,21398.1
81720,Test,2017-04-18 11:14:28,2017-04-15 10:24:26,4370.033333333334
81976,Control,2017-04-14 13:02:30,2017-04-14 12:55:38,6.866666666666666
82206,Test,2017-03-29 14:37:54,2017-03-29 14:35:45,2.15
82376,Control,2017-06-15 11:31:31,2017-06-15 11:27:44,3.783333333333333
82566,Control,2017-04-07 11:12:54,2017-04-07 11:09:57,2.95
82772,Test,2017-04-06 13:31:31,2017-04-06 13:29:49,1.7
82869,Control,2017-04-05 11:20:13,2017-04-05 11:17:51,2.3666666666666667
83158,Control,2017-04-17 08:52:55,2017-04-17 08:44:01,8.9
83447,Control,2017-04-02 16:13:57,2017-04-02 16:03:26,10.516666666666667
83507,Test,2017-03-29 12:07:08,2017-03-29 12:05:55,1.2166666666666666
83585,Test,2017-04-18 11:00:15,2017-04-18 10:57:52,2.3833333333333333
83795,Test,2017-04-23 14:32:00,2017-04-10 23:52:30,18159.5
84108,Control,2017-05-10 17:04:58,2017-05-10 17:01:07,3.85
84464,Test,2017-03-30 22:04:28,2017-03-30 22:00:12,4.266666666666667
84480,Control,2017-04-06 02:25:25,2017-04-06 01:53:34,31.85
84624,Control,2017-04-12 11:28:08,2017-04-12 11:20:47,7.35
84658,Test,2017-06-12 22:57:26,2017-04-27 23:08:59,66228.45
84976,Test,2017-04-14 17:21:29,2017-04-08 22:33:35,8327.9
85793,Control,2017-04-15 08:12:53,2017-04-15 08:08:43,4.166666666666667
86035,Test,2017-04-10 19:10:24,2017-04-10 19:06:39,3.75
86499,Control,2017-04-12 13:44:49,2017-04-12 13:41:59,2.8333333333333335
86616,Control,2017-03-29 15:54:20,2017-03-29 15:46:52,7.466666666666667
86699,Control,2017-04-19 11:04:39,2017-04-19 11:02:33,2.1
86877,Test,2017-05-04 13:58:22,2017-05-04 13:55:24,2.966666666666667
87162,Control,2017-04-05 10:06:38,2017-04-05 10:01:36,5.033333333333333
87218,Control,2017-03-29 12:25:06,2017-03-29 12:19:12,5.9
87300,Control,2017-04-04 13:07:47,2017-04-04 12:58:22,9.416666666666666
87424,Test,2017-04-20 00:54:10,2017-04-20 00:50:01,4.15
87449,Test,2017-04-18 20:53:06,2017-04-18 20:50:47,2.316666666666667
88723,Control,2017-04-11 11:04:50,2017-04-04 10:54:28,10090.366666666667
88759,Control,2017-03-31 11:04:35,2017-03-31 10:58:27,6.133333333333334
89039,Test,2017-04-12 11:52:59,2017-04-12 11:49:16,3.716666666666667
89052,Control,2017-04-12 15:06:00,2017-04-12 15:00:07,5.883333333333334
89116,Control,2017-04-12 14:11:25,2017-04-12 14:09:23,2.033333333333333
89604,Test,2017-04-05 13:24:28,2017-04-05 13:22:22,2.1
89693,Test,2017-04-05 11:05:24,2017-04-05 11:02:37,2.783333333333333
89959,Test,2017-04-03 11:12:27,2017-04-03 10:59:55,12.533333333333333
90324,Test,2017-05-15 23:26:20,2017-05-15 23:21:25,4.916666666666667
90360,Test,2017-04-05 09:53:33,2017-04-05 09:50:44,2.816666666666667
90596,Control,2017-05-12 17:35:10,2017-04-11 16:05:39,44729.51666666667
91110,Test,2017-04-12 11:27:48,2017-03-30 08:36:49,18890.983333333334
91254,Test,2017-04-09 08:17:29,2017-04-09 08:15:14,2.25
91443,Test,2017-04-07 14:52:16,2017-04-07 14:43:12,9.066666666666666
91633,Test,2017-04-05 14:32:48,2017-04-05 14:24:20,8.466666666666667
92066,Test,2017-04-09 11:51:09,2017-04-09 11:48:11,2.966666666666667
92137,Test,2017-03-15 11:10:37,2017-03-15 11:08:21,2.2666666666666666
92808,Control,2017-06-19 23:00:05,2017-06-06 16:08:22,19131.716666666667
93127,Control,2017-06-20 13:30:02,2017-04-05 15:27:08,109322.9
93137,Test,2017-04-12 15:12:02,2017-04-12 15:10:25,1.6166666666666667
93480,Test,2017-05-08 07:30:49,2017-05-08 07:22:42,8.116666666666667
93610,Test,2017-03-31 01:11:38,2017-03-31 00:29:54,41.733333333333334
93870,Test,2017-04-14 18:19:05,2017-04-14 18:11:19,7.766666666666667
93915,Test,2017-04-12 14:12:12,2017-04-11 00:53:04,2239.133333333333
94767,Test,2017-06-06 11:47:50,2017-06-06 11:42:42,5.133333333333334
94778,Control,2017-04-12 20:17:41,2017-04-12 20:10:59,6.7
95035,Test,2017-04-19 13:41:52,2017-04-19 13:29:11,12.683333333333334
95199,Test,2017-03-29 11:36:45,2017-03-29 11:34:45,2.0
95453,Test,2017-03-27 15:14:06,2017-03-27 15:10:42,3.4
